25.58	14
25.6	11
25.62	10
25.64	17
25.66	8
25.68	12
25.7	17
25.72	11
25.74	9
25.76	15
25.78	18
25.8	15
25.82	17
25.84	11
25.86	13
25.88	14
25.9	12
25.92	15
25.94	17
25.96	21
25.98	18
26	17
26.02	13
26.04	12
26.06	14
26.08	9
26.1	10
26.12	19
26.14	14
26.16	9
26.18	9
26.2	12
26.22	12
26.24	18
26.26	8
26.28	4
26.3	9
26.32	7
26.34	9
26.36	4
26.38	10
26.4	13
26.42	10
26.44	13
26.46	12
26.48	16
26.5	23
26.52	10
26.54	11
26.56	12
26.58	9
26.6	15
26.62	12
26.64	11
26.66	12
26.68	12
26.7	16
26.72	7
26.74	13
26.76	9
26.78	16
26.8	11
26.82	10
26.84	16
26.86	10
26.88	9
26.9	13
26.92	10
26.94	9
26.96	14
26.98	19
27	10
27.02	9
27.04	8
27.06	14
27.08	9
27.1	9
27.12	19
27.14	15
27.16	15
27.18	15
27.2	14
27.22	20
27.24	12
27.26	13
27.28	19
27.3	10
27.32	11
27.34	11
27.36	10
27.38	11
27.4	14
27.42	11
27.44	16
27.46	14
27.48	12
27.5	10
27.52	16
27.54	17
27.56	19
27.58	15
27.6	14
27.62	15
27.64	9
27.66	10
27.68	10
27.7	15
27.72	13
27.74	10
27.76	17
27.78	18
27.8	15
27.82	20
27.84	9
27.86	9
27.88	12
27.9	8
27.92	15
27.94	19
27.96	8
27.98	8
28	20
28.02	13
28.04	12
28.06	12
28.08	10
28.1	12
28.12	9
28.14	17
28.16	15
28.18	14
28.2	11
28.22	14
28.24	14
28.26	14
28.28	4
28.3	23
28.32	12
28.34	16
28.36	16
28.38	14
28.4	14
28.42	12
28.44	27
28.46	26
28.48	25
28.5	26
28.52	32
28.54	37
28.56	24
28.58	31
28.6	30
28.62	31
28.64	28
28.66	36
28.68	25
28.7	23
28.72	13
28.74	21
28.76	20
28.78	27
28.8	19
28.82	17
28.84	19
28.86	15
28.88	19
28.9	16
28.92	20
28.94	22
28.96	17
28.98	11
29	23
29.02	19
29.04	17
29.06	20
29.08	16
29.1	19
29.12	15
29.14	35
29.16	19
29.18	17
29.2	19
29.22	17
29.24	21
29.26	23
29.28	21
29.3	17
29.32	24
29.34	26
29.36	24
29.38	15
29.4	30
29.42	18
29.44	17
29.46	24
29.48	23
29.5	32
29.52	22
29.54	23
29.56	24
29.58	25
29.6	26
29.62	25
29.64	14
29.66	19
29.68	19
29.7	30
29.72	17
29.74	31
29.76	25
29.78	34
29.8	25
29.82	27
29.84	30
29.86	40
29.88	30
29.9	38
29.92	26
29.94	44
29.96	55
29.98	50
30	56
30.02	59
30.04	72
30.06	85
30.08	66
30.1	77
30.12	83
30.14	77
30.16	67
30.18	85
30.2	66
30.22	48
30.24	32
30.26	48
30.28	44
30.3	44
30.32	36
30.34	44
30.36	31
30.38	46
30.4	26
30.42	29
30.44	32
30.46	29
30.48	23
30.5	32
30.52	22
30.54	19
30.56	21
30.58	22
30.6	28
30.62	22
30.64	18
30.66	22
30.68	15
30.7	20
30.72	24
30.74	17
30.76	22
30.78	15
30.8	25
30.82	21
30.84	18
30.86	16
30.88	19
30.9	14
30.92	15
30.94	20
30.96	20
30.98	19
31	13
31.02	17
31.04	25
31.06	17
31.08	14
31.1	21
31.12	13
31.14	15
31.16	21
31.18	5
31.2	17
31.22	16
31.24	15
31.26	13
31.28	16
31.3	18
31.32	10
31.34	17
31.36	15
31.38	11
31.4	15
31.42	15
31.44	18
31.46	15
31.48	11
31.5	16
31.52	11
31.54	17
31.56	17
31.58	13
31.6	19
31.62	14
31.64	15
31.66	13
31.68	15
31.7	19
31.72	13
31.74	10
31.76	16
31.78	15
31.8	16
31.82	17
31.84	13
31.86	17
31.88	15
31.9	17
31.92	15
31.94	14
31.96	11
31.98	16
32	10
32.02	15
32.04	19
32.06	18
32.08	13
32.1	17
32.12	18
32.14	11
32.16	12
32.18	13
32.2	17
32.22	18
32.24	18
